NAME,CLASS,POLITICS,IN ALBERGHI
"S. THEODORO, DI",MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
SACCO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
SALE,ARTEFICI,GUELFI,
SALICETI,NOBILI,GUELFI,"NEGRO, DI"
SALICETI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
SALUZZO,ARTEFICI,GHIBELLINI,
SALVAGO,NOBILI,"GHIBELLINI, GUELFI",
SANGUINETI,ARTEFICI,GHIBELLINI,
SARDENA,NOBILI,GUELFI,FIESCHI
SAULI,MERCANTI,GUELFI,
SCACHERI,NOBILI,GHIBELLINI,SPINOLA
"SCARSIS, DE",NOBILI,GHIBELLINI,CICALA
"SCENA, DE",NOBILI,"GHIBELLINI, GUELFI",CIBO
SCORZA,NOBILI,GUELFI,FIESCHI
SCOTTI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
SCOTTI,NOBILI,GHIBELLINI,CATTANEO
SCOTTI,NOBILI,GHIBELLINI,CENTURIONE
SCOTTO,NOBILI,"GHIBELLINI, GUELFI",CIBO
SCOTTO,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
SENAREGA,"MERCANTI, ARTEFICI",GHIBELLINI,
SENESTRARO,MERCANTI,GUELFI,
SERRA,NOBILI,GHIBELLINI,
SIVORI,ARTEFICI,GHIBELLINI,
SOFIA,MERCANTI,GHIBELLINI,
SOLARI,ARTEFICI,GHIBELLINI,
SOPRANIS,MERCANTI,GHIBELLINI,
SPINOLA,NOBILI,GHIBELLINI,
STANCONI,NOBILI,GHIBELLINI,CATTANEO
STELLA,MERCANTI,GHIBELLINI,
STRATA,ARTEFICI,GHIBELLINI,
STREGGIAPORCI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
STREGINI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
STROPPA,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
TARIGO,MERCANTI,GUELFI,
TARTARI,NOBILI,GHIBELLINI,IMPERIALE
TASCHIFELONI,NOBILI,GUELFI,GRIMALDI
TASSISTRO,ARTEFICI,GHIBELLINI,
TERRILE,ARTEFICI,GUELFI,
TOPPORI,ARTEFICI,GUELFI,
TORRIGLIA,MERCANTI,GUELFI,
TORTORINO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
TOSO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
TRAVERIO,NOBILI,GHIBELLINI,CENTURIONE
TRIADANO,NOBILI,GUELFI,"MARINI, DE"
"TURCA, DE",NOBILI,GUELFI,GENTILE
UGHETTI,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
USODIMARE,NOBILI,GUELFI,
VACCA,ARTEFICI,GHIBELLINI,
VALDETARO,MERCANTI,GHIBELLINI,
VALLETTO,NOBILI,GHIBELLINI,SPINOLA
VARESE,MERCANTI,GUELFI,
VEDERETO,NOBILI,GHIBELLINI,CENTURIONE
VEGIO,NOBILI,GUELFI,"MARINI, DE"
VERNAZZA,ARTEFICI,GUELFI,
VERRINA,ARTEFICI,GHIBELLINI,
VIACAVA,ARTEFICI,GUELFI,
VIACAVA,NOBILI,GUELFI,LERCARI
VIALE,ARTEFICI,GHIBELLINI,
VIALE,MERCANTI,GHIBELLINI,"FRANCHI, DE"
"VIGNE, DELLA",NOBILI,GHIBELLINI,IMPERIALE
VIGNOLO,ARTEFICI,GHIBELLINI,
VIGNOSO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
VILLA,ARTEFICI,GHIBELLINI,
VINELLI,ARTEFICI,GHIBELLINI,
VITALI,ARTEFICI,GHIBELLINI,
VIVALDI,NOBILI,GHIBELLINI,
"VOLTA, DE",NOBILI,GHIBELLINI,CATTANEO
VOLTAGGIO,MERCANTI,GUELFI,
ZERBI,ARTEFICI,GUELFI,
ZERBINI,ARTEFICI,GUELFI,
ZIGNANI,NOBILI,GHIBELLINI,SPINOLA
ZINO,ARTEFICI,GHIBELLINI,
ZOAGLI,MERCANTI,GUELFI,
ZONIACO,NOBILI,GHIBELLINI,SPINOLA
ZUPPA,NOBILI,GHIBELLINI,SPINOLA
ZUPPETI,NOBILI,GHIBELLINI,SPINOLA
ZURLI,NOBILI,GUELFI,"USODIMARE, VIVALDI"
